Object ID,Asset Type,Layer Level,X pos,Y pos
A18-CULLET,,,,
A2-1,,,,
A2-2,,,,
AD-MDP,,,,
AD-UDP,,,,
BE-LOM-DRW-GEN-ELC-SD-01,,,,
BE-LOM-DRW-GEN-ELC-SD-02,,,,
BE-LOM-DRW-UTB-ELC-MV-0M,,,,
BH-MDP,,,,
BH-UDP,,,,
C1L1-L3,,,,
CNRBE-PMEP20-AB-XXX-SMT-5255,,,,
COMPRESSOR-1,,,,
COMPRESSOR-2,,,,
COMPRESSOR-3,,,,
COMPRESSOR-4,,,,
CTC-PR-MV,,,,
CTT-222,,,,
CTT-332,,,,
DRAW-OUT,,,,
E2PACK-LINE,,,,
F1-COLD-DP,,,,
F1-COLD-UDP,,,,
F1-DP1,,,,
F1-GEN-DP,,,,
F1-GEN-UP,,,,
F1-HOT-DP,,,,
F1-HP-1,,,,
F1-HP-2,,,,
F1-HP-3,,,,
F1-HP-4,,,,
F1-MDP-1,,,,
F1-MDP-2,,,,
F1-MDP-3,,,,
F1-MDP-4,,,,
F1-MDP-5,,,,
F1-MDP-6,,,,
F1-MDP-7,,,,
F1-MDP-8,,,,
F1-MDP-9,,,,
F1-MZ-DP,,,,
F1-UO-DP,,,,
F1-UP1,,,,
F10-BMS-RIO5,,,,
F10-BMS-RIOXXX,,,,
F10-CRAC,,,,
F10-OTHER,,,,
F10-PLC-3,,,,
F2-COLD-DP,,,,
F2-GEN-DP,,,,
F2-GEN-UP,,,,
F2-HOT-DP,,,,
F2-MDP-1,,,,
F2-MDP-2,,,,
F2-MDP-3,,,,
F2-MDP-4,,,,
F2-MDP-5,,,,
F2-MDP-6,,,,
F2-MDP-7,,,,
F2-MDP-8,,,,
F2-MDP-9,,,,
F2-MZ-DP,,,,
F2-UO-DP,,,,
F20-BMS-RIO5,,,,
F20-OTHER,,,,
FAP10-3,,,,
FE-180,,,,
FL-1,,,,
FUR-10,,,,
FUR-20,,,,
GENERATOR-1,,,,
GENERATOR-2,,,,
GENERATOR-3,,,,
GENERATOR-4,,,,
HOT-10,,,,
HOT-20,,,,
IDC-FUR10-6,,,,
KT-7364,,,,
KT-7365,,,,
KT-7366,,,,
KT-7367,,,,
KT-7368,,,,
KT-7369,,,,
KT-7370,,,,
KT-7371,,,,
KT-7372,,,,
KT-7373,,,,
KT-7374,,,,
KT-7375,,,,
MAU-FUR10-02,,,,
MHO-10,,,,
MHO-20,,,,
NORTH-EAST,,,,
NORTH-WEST,,,,
PLC40-5,,,,
PLUG-IN,,,,
PWA-FUR10-1,,,,
PWA-FUR10-2,,,,
RIO-1,,,,
RIO-2,,,,
RIO-21,,,,
RIO-8,,,,
SIPAC-11,,,,
SIPAC-12,,,,
SIPAC-13,,,,
SIPAC-14,,,,
SIPAC-21,,,,
SIPAC-22,,,,
SIPAC-23,,,,
SIPAC-24,,,,
SOUTH-EAST,,,,
SOUTH-WEST,,,,
SUPPLY-1,,,,
SUPPLY-2,,,,
T15L1-L3,,,,
T1L1-L3,,,,
TR-C,,,,
TR-COMPRESSOR,,,,
TR-DP1,,,,
TR-DP2,,,,
TR-DPC,,,,
TR-DPS,,,,
TR-ISO,,,,
TR-S,,,,
UBU-BMS-RIO1,,,,
UBU-BMS-RIO2,,,,
UT-COMP,,,,
UT-CRAC,,,,
UT-DP1,,,,
UT-FMCC,,,,
UT-MCC,,,,
UT-MDP,,,,
UT-PLC-2,,,,
UT-UDP,,,,
UT-UP1,,,,
